Name                                      CurrentValue    Limit
Standard HBS Family vCPUs                 0               0
Standard HCS Family vCPUs                 0               0
Standard HX Family vCPUs                  0               0
InternalNDM Sv 1 Family vCPUs             0               4
Standard Laosv4 Family vCPUs              0               4
Standard LASv3 Family vCPUs               0               4
Standard Lasv 4 Family vCPUs              0               4
Standard LS Family vCPUs                  0               4
Standard LSv2 Family vCPUs                0               4
Standard LSv3 Family vCPUs                0               4
Standard Lsv 4 Family vCPUs               0               4
Standard MS Family vCPUs                  0               0
Standard MBDSMediumMemoryv3 Family vCPUs  0               4
Standard MBSMediumMemoryv3 Family vCPUs   0               4
Standard MDSMediumMemoryv2 Family vCPUs   0               0
Standard MSMediumMemoryv2 Family vCPUs    0               0
StandardMDS Medium Memoryv3 Family vCPUs  0               0
StandardMS Medium Memoryv3 Family vCPUs   0               0
Standard MIDSMediumMemoryv2 Family vCPUs  0               0
Standard MISMediumMemoryv2 Family vCPUs   0               0
Standard MSv2 Family vCPUs                0               0
StandardMDS High Memoryv3 Family vCPUs    0               0
StandardMS High Memoryv3 Family vCPUs     0               0
StandardMIDS High Memoryv3 Family vCPUs   0               0
StandardMIS High Memoryv3 Family vCPUs    0               0
Standard NC Family vCPUs                  0               6
Standard NCSv2 Family vCPUs               0               0
Standard NCSv3 Family vCPUs               0               0
Standard NC Promo Family vCPUs            0               6
Standard NCADSA10v4 Family vCPUs          0               0
Standard NCASv3_T4 Family vCPUs           0               0
Standard NCADS_A100_v4 Family vCPUs       0               0
Standard NCadsH100v5 Family vCPUs         0               0
Standard NCCads2023 Family vCPUs          0               0
Standardndisrgb300g5v6family vCPUs        0               0
Standard NDISR GB300V6 Family vCPUs       0               0
StandardNDISRGB200V6NDRFamily vCPUs       0               0
Standard NDS Family vCPUs                 0               0
Standard NDSv2 Family vCPUs               0               0
Standard NDSv3 Family vCPUs               0               0
Standard NDAMSv4_A100Family vCPUs         0               0
Standard NDASv4_A100 Family vCPUs         0               0
Standard NDSH100v5 Family vCPUs           0               0
StandardNDISRH200V5Family vCPUs           0               0
StandardNDI Sv 5MI300X Family vCPUs       0               0
Standard NGADSV620v1 Family vCPUs         0               0
Standard NPS Family vCPUs                 0               4
Standard NVADSA10v5 Family vCPUs          0               0
Standard NV Family vCPUs                  0               6
Standard NVadsV710v5 Family vCPUs         0               0
Standard NVSv2 Family vCPUs               0               0
Standard NVSv3 Family vCPUs               0               0
Standard NV Promo Family vCPUs            0               6
Standard NVSv4 Family vCPUs               0               0
Standard PBS Family vCPUs                 0               0
